event_date,event_name,event_category,distance,location,link,english_slug_base
13 Jul 2025,三球野 - 柏架山,越野,15km,柏架山,https://www.actionpanda3ballrun.com/,action-panda-3-ball-trail-mount-parker-jul-2025
26 Jul 2025,Cigna Healthcare HYROX Hong Kong,HYROX,8km + 8 workouts,亞博館,https://hyrox.com/event/hyrox-hong-kong/,cigna-healthcare-hyrox-hong-kong-jul-2025
1 Aug 2025,三球野 - 大帽山,越野,15km,大帽山,https://www.actionpanda3ballrun.com/,action-panda-3-ball-trail-tai-mo-shan-aug-2025
17 Aug 2025,夏日黃昏賽@城門站,越野,10km,城門,https://bluemountainsports.hk/%e5%a4%8f%e6%97%a5%e9%bb%83%e6%98%8f%e8%b3%bd%e5%9f%8e%e9%96%80%e7%ab%99/,summer-sunset-trail-shing-mun-aug-2025
23 Aug 2025,AVOHK 5k Series - 寶雲道,路跑,5km,寶雲道,https://in.njuko.com/avohk-5k-series-2025-entry?currentPage=select-competition,avohk-5k-series-bowen-road-aug-2025
24 Aug 2025,中興盃荃灣十公里賽,路跑,10km,城門,https://www.chunghingwrc.com/,chung-hing-cup-tsuen-wan-10k-aug-2025
3 Aug 2025,AVOHK 5k Series - 大潭篤水塘,路跑,5km,大潭篤,https://in.njuko.com/avohk-5k-series-2025-entry?currentPage=select-competition,avohk-5k-series-tai-tam-tuk-reservoir-aug-2025
31 Aug 2025,第廿二屆「跑手堂」荃灣10K—超級夏日挑戰賽,路跑,10km,城門,https://bit.ly/HKMP-TW10K2025,hkmp-tsuen-wan-super-summer-challenge-10k-aug-2025
31 Aug 2025,南區越野賽,越野,"1.2, 3.5, 9km",香港仔,http://www.sdhhk.org/,southern-district-trail-race-aberdeen-aug-2025
6 Sep 2025,AVOHK 5k Series - 布力徑,路跑,5km,布力徑,https://in.njuko.com/avohk-5k-series-2025-entry?currentPage=select-competition,avohk-5k-series-bowen-road-sep-2025
7 Sep 2025,MERRY-RUN-ROUND,越野,"2hr, 4hr",大棠,https://www.noracenogoal.com/mrr-tt-2025,merry-run-round-tai-tong-sep-2025
7 Sep 2025,雲山挑戰越野賽,越野,"15, 21km",大埔頭,https://www.life-fever.com/chc,cloud-mountain-challenge-trail-race-tai-po-sep-2025
14 Sep 2025,三球野 - 畢架山,越野,16.5km,畢架山,https://www.actionpanda3ballrun.com/,action-panda-3-ball-trail-beacon-hill-sep-2025
2 Sep 2025,AVOHK 5k Series - 南灣,路跑,5km,南區,https://in.njuko.com/avohk-5k-series-2025-entry?currentPage=select-competition,avohk-5k-series-south-bay-sep-2025
2 Sep 2025,躍動山嶺國慶跑,越野,"3, 10, 20km",山頂,https://youth.org.hk/youthHK/contents/10/39.html,mountain-peak-national-day-run-sep-2025
21 Sep 2025,夏日黃昏賽@大潭站,越野,16km,大潭,https://bluemountainsports.hk/%e5%a4%8f%e6%97%a5%e9%bb%83%e6%98%8f%e8%b3%bd%e5%a4%a7%e6%bd%ad%e7%ab%99/,summer-sunset-trail-tai-tam-sep-2025
21 Sep 2025,RunAround@SaiKung,越野,"8, 25km",北潭涌,https://www.playaroundhk.com/event/home.php?lang=Chinese,runaround-sai-kung-sep-2025
28 Sep 2025,香港越野短途賽 ‧ 大棠,越野,14km,大棠,https://www.wildtrekhk.com/2025-hksd-tai-tong-%E9%A6%99%E6%B8%AF%E8%B6%8A%E9%87%8E%E7%9F%AD%E9%80%94%E8%B3%BD%E5%A4%A7%E6%A3%A0,hong-kong-short-distance-trail-tai-tong-sep-2025
28 Sep 2025,LUA保協生命傳愛慈善跑,路跑,"1, 3,10km",科學園,https://luacharityrun2025.sportsoho.com/,lua-life-love-charity-run-science-park-sep-2025
28 Sep 2025,VAGA HOT25,越野,27km,中環,https://www.victoria162.hk/vaga-hot25,vaga-hot25-central-sep-2025
1 Oct 2025,國慶長跑,路跑,"4, 10km",大美督,https://in.njuko.com/motorrun2025,national-day-long-run-tai-mei-tuk-oct-2025
4 Oct 2025,4TUL Part 2,越野,"63, 96, 139km",大帽山,https://www.noracenogoal.com/,4tul-part-2-tai-mo-shan-oct-2025
5 Oct 2025,CBRE Lantau 2 Peaks,越野,"15, 24km",東涌,https://www.actionasiaevents.com/our-events/2025-cbre-lantau-2-peaks/,cbre-lantau-2-peaks-tung-chung-oct-2025
5 Oct 2025,RunAround Run with the Flow,路跑,"1, 3, 5, 10km",科學園,https://www.playaroundhk.com/event/home.php,runaround-run-with-flow-science-park-oct-2025
11 Oct 2025,外展「舟」山跑,"越野, 獨木舟","8, 18km",西貢,https://www.outwardbound.org.hk/zh/multi-adventure-race,outward-bound-boat-mountain-run-sai-kung-oct-2025
11 Oct 2025,Light 16,越野,16km,城門,https://www.dark45.com/light-16,light-16-shing-mun-oct-2025
12 Oct 2025,Dark 45,越野,45km,水浪窩,https://www.dark45.com/,dark-45-ultra-trail-shui-long-wo-oct-2025
12 Oct 2025,AVOHK Reservoir Series - 大潭水塘,路跑,11km,大潭,https://avohk.org/index.php/reservoir-series/,avohk-reservoir-series-tai-tam-reservoir-oct-2025
12 Oct 2025,香港越野錦標賽,路跑,10km,粉嶺,https://hkaaa.com/,hong-kong-trail-running-championship-sep-2025
18 Oct 2025,雷利衛徑長征,越野,"12, 25, 50km",大潭,https://raleighwilsontrail.hk/zh/,raleigh-wilson-trail-tai-tam-oct-2025
18 Oct 2025,匡智慈善跑樓梯大賽,樓梯,"7, 29, 75層",中環廣場,https://hongchi.org.hk/climbathon,hong-chi-charity-stair-climb-central-plaza-oct-2025
19 Oct 2025,香港10公里錦標賽,路跑,10km,TBC,https://hkaaa.com/,hong-kong-10km-championship-oct-2025
